Date,Time,Name,Status
10/12/2019,21:50:00,BLUE-TNK-1,RampUp
10/12/2019,21:50:00,BLUE-TNK-2,RampUp
10/12/2019,21:50:00,BLUE-TNK-3,ON
10/12/2019,21:50:00,BLUE-TNK-4,ON
10/12/2019,21:50:00,BluLED_24_5,ON
10/13/2019,06:57:00,WHITE-TNK-1,RampUp
10/13/2019,06:57:00,WHITE-TNK-2,RampUp
10/13/2019,06:57:00,WHITE-TNK-3,ON
10/13/2019,06:57:00,WHITE-TNK-4,ON
10/13/2019,06:57:00,WhtLED_24_6,ON
10/13/2019,09:40:00,BLUE-TNK-1,OFF
10/13/2019,09:40:00,BLUE-TNK-2,OFF
10/13/2019,09:40:00,BLUE-TNK-3,OFF
10/13/2019,09:40:00,BLUE-TNK-4,OFF
10/13/2019,09:40:00,BluLED_24_5,OFF
10/13/2019,18:23:00,WHITE-TNK-1,OFF
10/13/2019,18:23:00,WHITE-TNK-2,OFF
10/13/2019,18:23:00,WHITE-TNK-3,OFF
10/13/2019,18:23:00,WHITE-TNK-4,OFF
10/13/2019,18:23:00,WhtLED_24_6,OFF
10/13/2019,22:39:00,BLUE-TNK-1,RampUp
10/13/2019,22:39:00,BLUE-TNK-2,RampUp
10/13/2019,22:39:00,BLUE-TNK-3,ON
10/13/2019,22:39:00,BLUE-TNK-4,ON
10/13/2019,22:39:00,BluLED_24_5,ON
10/14/2019,06:58:00,WHITE-TNK-1,RampUp
10/14/2019,06:58:00,WHITE-TNK-2,RampUp
10/14/2019,06:58:00,WHITE-TNK-3,ON
10/14/2019,06:58:00,WHITE-TNK-4,ON
10/14/2019,06:58:00,WhtLED_24_6,ON
10/14/2019,10:29:00,BLUE-TNK-1,OFF
10/14/2019,10:29:00,BLUE-TNK-2,OFF
10/14/2019,10:29:00,BLUE-TNK-3,OFF
10/14/2019,10:29:00,BLUE-TNK-4,OFF
10/14/2019,10:29:00,BluLED_24_5,OFF
10/14/2019,18:22:00,WHITE-TNK-1,OFF
10/14/2019,18:22:00,WHITE-TNK-2,OFF
10/14/2019,18:22:00,WHITE-TNK-3,OFF
10/14/2019,18:22:00,WHITE-TNK-4,OFF
10/14/2019,18:22:00,WhtLED_24_6,OFF
10/14/2019,23:28:00,BLUE-TNK-1,RampUp
10/14/2019,23:28:00,BLUE-TNK-2,RampUp
10/14/2019,23:28:00,BLUE-TNK-3,ON
10/14/2019,23:28:00,BLUE-TNK-4,ON
10/14/2019,23:28:00,BluLED_24_5,ON
10/15/2019,06:59:00,WHITE-TNK-1,RampUp
10/15/2019,06:59:00,WHITE-TNK-2,RampUp
10/15/2019,06:59:00,WHITE-TNK-3,ON
10/15/2019,06:59:00,WHITE-TNK-4,ON
10/15/2019,06:59:00,WhtLED_24_6,ON
10/15/2019,11:18:00,BLUE-TNK-1,OFF
10/15/2019,11:18:00,BLUE-TNK-2,OFF
10/15/2019,11:18:00,BLUE-TNK-3,OFF
10/15/2019,11:18:00,BLUE-TNK-4,OFF
10/15/2019,11:18:00,BluLED_24_5,OFF
10/15/2019,18:21:00,WHITE-TNK-1,OFF
10/15/2019,18:21:00,WHITE-TNK-2,OFF
10/15/2019,18:21:00,WHITE-TNK-3,OFF
10/15/2019,18:21:00,WHITE-TNK-4,OFF
10/15/2019,18:21:00,WhtLED_24_6,OFF
10/16/2019,00:17:00,BLUE-TNK-1,RampUp
10/16/2019,00:17:00,BLUE-TNK-2,RampUp
