Date,Source,MinTemp,MaxTemp,Delta
2020-07-12T07:00:00Z,Hobo-Tmp-1,13.84,18.33,4.489999999999998
2020-07-12T07:00:00Z,Hobo-Tmp-2,13.98,18.58,4.599999999999998
2020-07-12T07:00:00Z,Mean.Temp,13.96,17.76,3.8000000000000007
2020-07-13T07:00:00Z,Hobo-Tmp-1,14.25,17.5,3.25
2020-07-13T07:00:00Z,Hobo-Tmp-2,14.38,18.19,3.8100000000000005
2020-07-13T07:00:00Z,Mean.Temp,14.43,17.54,3.1099999999999994
2020-07-14T07:00:00Z,Hobo-Tmp-1,14.14,17.83,3.6899999999999977
2020-07-14T07:00:00Z,Hobo-Tmp-2,14.56,17.44,2.880000000000001
2020-07-14T07:00:00Z,Mean.Temp,14.69,17.09,2.4000000000000004
2020-07-15T07:00:00Z,Hobo-Tmp-1,13.42,17.01,3.5900000000000016
2020-07-15T07:00:00Z,Hobo-Tmp-2,13.5,17.65,4.149999999999999
2020-07-15T07:00:00Z,Mean.Temp,13.89,16.93,3.039999999999999
2020-07-16T07:00:00Z,Hobo-Tmp-1,13.57,17.59,4.02
2020-07-16T07:00:00Z,Hobo-Tmp-2,13.46,17.57,4.109999999999999
2020-07-16T07:00:00Z,Mean.Temp,13.87,17.51,3.6400000000000023
2020-07-17T07:00:00Z,Hobo-Tmp-1,14.61,16.45,1.8399999999999999
2020-07-17T07:00:00Z,Hobo-Tmp-2,14.76,17.52,2.76
2020-07-17T07:00:00Z,Mean.Temp,14.92,16.86,1.9399999999999995
2020-07-18T07:00:00Z,Hobo-Tmp-1,15.71,17.31,1.5999999999999979
2020-07-18T07:00:00Z,Hobo-Tmp-2,15.44,17.58,2.139999999999999
2020-07-18T07:00:00Z,Mean.Temp,15.74,17.39,1.6500000000000004
2020-07-19T07:00:00Z,Hobo-Tmp-1,14.71,18.01,3.3000000000000007
2020-07-19T07:00:00Z,Hobo-Tmp-2,15.14,18.2,3.0599999999999987
2020-07-19T07:00:00Z,Mean.Temp,15.25,18.1,2.8500000000000014
2020-07-20T07:00:00Z,Hobo-Tmp-1,13.94,17.41,3.4700000000000006
2020-07-20T07:00:00Z,Hobo-Tmp-2,14.73,17.88,3.1499999999999986
2020-07-20T07:00:00Z,Mean.Temp,14.92,17.35,2.4300000000000015
2020-07-21T07:00:00Z,Hobo-Tmp-1,14.12,17.56,3.4399999999999995
2020-07-21T07:00:00Z,Hobo-Tmp-2,14.36,17.74,3.379999999999999
2020-07-21T07:00:00Z,Mean.Temp,14.68,17.43,2.75
2020-07-22T07:00:00Z,Hobo-Tmp-1,12.42,17.32,4.9
2020-07-22T07:00:00Z,Hobo-Tmp-2,12.59,17.59,5
2020-07-22T07:00:00Z,Mean.Temp,12.6,17.19,4.590000000000002
2020-07-23T07:00:00Z,Hobo-Tmp-1,12.5,16.56,4.059999999999999
2020-07-23T07:00:00Z,Hobo-Tmp-2,12.6,16.63,4.029999999999999
2020-07-23T07:00:00Z,Mean.Temp,12.61,16.52,3.91
2020-07-24T07:00:00Z,Hobo-Tmp-1,11.96,15.71,3.75
2020-07-24T07:00:00Z,Hobo-Tmp-2,12.32,16.32,4
2020-07-24T07:00:00Z,Mean.Temp,12.21,15.81,3.5999999999999996
2020-07-25T07:00:00Z,Hobo-Tmp-1,12.08,16.06,3.9799999999999986
2020-07-25T07:00:00Z,Hobo-Tmp-2,12.22,16.53,4.3100000000000005
2020-07-25T07:00:00Z,Mean.Temp,12.19,16.14,3.950000000000001
2020-07-26T07:00:00Z,Hobo-Tmp-1,12.66,16.97,4.309999999999999
2020-07-26T07:00:00Z,Hobo-Tmp-2,12.78,17.35,4.570000000000002
2020-07-26T07:00:00Z,Mean.Temp,12.75,17.08,4.329999999999998
2020-07-27T07:00:00Z,Hobo-Tmp-1,12.16,16.06,3.8999999999999986
2020-07-27T07:00:00Z,Hobo-Tmp-2,12.28,16.36,4.08
2020-07-27T07:00:00Z,Mean.Temp,12.32,16.09,3.7699999999999996
2020-07-28T07:00:00Z,Hobo-Tmp-1,12.9,15.96,3.0600000000000005
2020-07-28T07:00:00Z,Hobo-Tmp-2,12.99,16.54,3.549999999999999
2020-07-28T07:00:00Z,Mean.Temp,13,16.06,3.0599999999999987
2020-07-29T07:00:00Z,Hobo-Tmp-1,12.96,16.15,3.1899999999999977
2020-07-29T07:00:00Z,Hobo-Tmp-2,13.03,16.62,3.5900000000000016
2020-07-29T07:00:00Z,Mean.Temp,13.17,16.38,3.209999999999999
2020-07-30T07:00:00Z,Hobo-Tmp-1,12.84,16.16,3.3200000000000003
2020-07-30T07:00:00Z,Hobo-Tmp-2,13.08,16.72,3.639999999999999
2020-07-30T07:00:00Z,Mean.Temp,13.27,16.42,3.150000000000002
