Date,Source,TempF
2019-12-10T07:30:00Z,Hobo-Tmp-2,57.75
2019-12-10T07:30:00Z,Mean.Temp,58.995000000000005
2019-12-10T07:40:00Z,Hobo-Tmp-1,60.24
2019-12-10T07:40:00Z,Hobo-Tmp-2,57.75
2019-12-10T07:40:00Z,Mean.Temp,58.995000000000005
2019-12-10T07:50:00Z,Hobo-Tmp-1,60.26
2019-12-10T07:50:00Z,Hobo-Tmp-2,57.79
2019-12-10T07:50:00Z,Mean.Temp,59.025
2019-12-10T08:00:00Z,Hobo-Tmp-1,60.26
2019-12-10T08:00:00Z,Hobo-Tmp-2,57.83
2019-12-10T08:00:00Z,Mean.Temp,59.045
2019-12-10T08:10:00Z,Hobo-Tmp-1,60.24
2019-12-10T08:10:00Z,Hobo-Tmp-2,57.81
2019-12-10T08:10:00Z,Mean.Temp,59.025000000000006
2019-12-10T08:20:00Z,Hobo-Tmp-1,60.28
2019-12-10T08:20:00Z,Hobo-Tmp-2,57.84
2019-12-10T08:20:00Z,Mean.Temp,59.06
2019-12-10T08:30:00Z,Hobo-Tmp-1,60.28
2019-12-10T08:30:00Z,Hobo-Tmp-2,57.84
2019-12-10T08:30:00Z,Mean.Temp,59.06
2019-12-10T08:40:00Z,Hobo-Tmp-1,60.28
2019-12-10T08:40:00Z,Hobo-Tmp-2,57.88
2019-12-10T08:40:00Z,Mean.Temp,59.08
2019-12-10T08:50:00Z,Hobo-Tmp-1,60.32
2019-12-10T08:50:00Z,Hobo-Tmp-2,57.96
2019-12-10T08:50:00Z,Mean.Temp,59.14
2019-12-10T09:00:00Z,Hobo-Tmp-1,60.34
2019-12-10T09:00:00Z,Hobo-Tmp-2,58
2019-12-10T09:00:00Z,Mean.Temp,59.17
2019-12-10T09:10:00Z,Hobo-Tmp-1,60.34
2019-12-10T09:10:00Z,Hobo-Tmp-2,58.11
2019-12-10T09:10:00Z,Mean.Temp,59.225
2019-12-10T09:20:00Z,Hobo-Tmp-1,60.37
2019-12-10T09:20:00Z,Hobo-Tmp-2,58.19
2019-12-10T09:20:00Z,Mean.Temp,59.28
2019-12-10T09:30:00Z,Hobo-Tmp-1,60.37
2019-12-10T09:30:00Z,Hobo-Tmp-2,58.29
2019-12-10T09:30:00Z,Mean.Temp,59.33
2019-12-10T09:40:00Z,Hobo-Tmp-1,60.43
2019-12-10T09:40:00Z,Hobo-Tmp-2,58.42
2019-12-10T09:40:00Z,Mean.Temp,59.425
2019-12-10T09:50:00Z,Hobo-Tmp-1,60.45
2019-12-10T09:50:00Z,Hobo-Tmp-2,58.52
2019-12-10T09:50:00Z,Mean.Temp,59.485
2019-12-10T10:00:00Z,Hobo-Tmp-1,60.49
2019-12-10T10:00:00Z,Hobo-Tmp-2,58.62
2019-12-10T10:00:00Z,Mean.Temp,59.555
2019-12-10T10:10:00Z,Hobo-Tmp-1,60.43
2019-12-10T10:10:00Z,Hobo-Tmp-2,58.75
2019-12-10T10:10:00Z,Mean.Temp,59.59
2019-12-10T10:20:00Z,Hobo-Tmp-1,60.43
2019-12-10T10:20:00Z,Hobo-Tmp-2,58.83
2019-12-10T10:20:00Z,Mean.Temp,59.629999999999995
2019-12-10T10:30:00Z,Hobo-Tmp-1,60.55
2019-12-10T10:30:00Z,Hobo-Tmp-2,58.95
2019-12-10T10:30:00Z,Mean.Temp,59.75
2019-12-10T10:40:00Z,Hobo-Tmp-1,60.53
2019-12-10T10:40:00Z,Hobo-Tmp-2,59.06
2019-12-10T10:40:00Z,Mean.Temp,59.795
2019-12-10T10:50:00Z,Hobo-Tmp-1,60.49
2019-12-10T10:50:00Z,Hobo-Tmp-2,59.18
2019-12-10T10:50:00Z,Mean.Temp,59.835
2019-12-10T11:00:00Z,Hobo-Tmp-1,60.53
2019-12-10T11:00:00Z,Hobo-Tmp-2,59.31
2019-12-10T11:00:00Z,Mean.Temp,59.92
2019-12-10T11:10:00Z,Hobo-Tmp-1,60.49
2019-12-10T11:10:00Z,Hobo-Tmp-2,59.35
2019-12-10T11:10:00Z,Mean.Temp,59.92
2019-12-10T11:20:00Z,Hobo-Tmp-1,60.51
2019-12-10T11:20:00Z,Hobo-Tmp-2,59.49
2019-12-10T11:20:00Z,Mean.Temp,60
2019-12-10T11:30:00Z,Hobo-Tmp-1,60.51
2019-12-10T11:30:00Z,Hobo-Tmp-2,59.58
2019-12-10T11:30:00Z,Mean.Temp,60.045
2019-12-10T11:40:00Z,Hobo-Tmp-1,60.53
2019-12-10T11:40:00Z,Hobo-Tmp-2,59.62
2019-12-10T11:40:00Z,Mean.Temp,60.075
2019-12-10T11:50:00Z,Hobo-Tmp-1,60.53
2019-12-10T11:50:00Z,Hobo-Tmp-2,59.74
2019-12-10T11:50:00Z,Mean.Temp,60.135000000000005
2019-12-10T12:00:00Z,Hobo-Tmp-1,60.59
2019-12-10T12:00:00Z,Hobo-Tmp-2,59.79
2019-12-10T12:00:00Z,Mean.Temp,60.19
2019-12-10T12:10:00Z,Hobo-Tmp-1,60.59
2019-12-10T12:10:00Z,Hobo-Tmp-2,59.85
2019-12-10T12:10:00Z,Mean.Temp,60.22
2019-12-10T12:20:00Z,Hobo-Tmp-1,60.59
2019-12-10T12:20:00Z,Hobo-Tmp-2,59.89
2019-12-10T12:20:00Z,Mean.Temp,60.24
2019-12-10T12:30:00Z,Hobo-Tmp-1,60.57
2019-12-10T12:30:00Z,Hobo-Tmp-2,59.95
2019-12-10T12:30:00Z,Mean.Temp,60.260000000000005
2019-12-10T12:40:00Z,Hobo-Tmp-1,60.55
2019-12-10T12:40:00Z,Hobo-Tmp-2,59.97
2019-12-10T12:40:00Z,Mean.Temp,60.26
2019-12-10T12:50:00Z,Hobo-Tmp-1,60.59
2019-12-10T12:50:00Z,Hobo-Tmp-2,60.08
2019-12-10T12:50:00Z,Mean.Temp,60.335
